    target  count  region      srcs
 0x20195d8     2  decomp      0x2018b38, 0x2018b6c
 0x2019708     1  decomp      0x2019a8c
 0x2019918     1  decomp      0x2018ddc
 0x2019ad8     2  decomp      0x2018b30, 0x2018b58
 0x2019b30     1  decomp      0x2018c78
 0x2019b88     2  decomp      0x2018c60, 0x2019b5c
 0x2019ff0     1  decomp      0x2018c90
 0x201a2e0     1  decomp      0x201e60c
 0x201a3ec     3  decomp      0x201a5cc, 0x201a650, 0x201a6d4
 0x201a4f8     3  decomp      0x201a580, 0x201a604, 0x201a688
 0x201a6e4     2  decomp      0x201a8c8, 0x201a980
 0x201a9c8     2  decomp      0x2018b90, 0x2018bb8
 0x201ac6c     7  decomp      0x201aa14, 0x201aa90, 0x201ab14, 0x201ab5c, 0x201ab84, 0x201abd4
 0x201af98     2  decomp      0x201b1c4, 0x201b1dc
 0x201b02c     1  decomp      0x201b728
 0x201b134     1  decomp      0x201b6c8
 0x201b264     1  decomp      0x201b414
 0x201b300     1  decomp      0x20189f0
 0x201b760     1  decomp      0x2018a14
 0x201b770     1  decomp      0x201b428
 0x201b7a0     2  decomp      0x201b284, 0x201b41c
 0x201b800     2  decomp      0x201b894, 0x201baf0
 0x201b860     2  decomp      0x201b888, 0x201bad8
 0x201b938     1  decomp      0x201b970
 0x201b968     1  decomp      0x201bac8
 0x201bb08     3  decomp      0x2018928, 0x201895c, 0x20189a0
 0x201bbcc     1  decomp      0x201b4fc
 0x201bdd4     1  decomp      0x2018990
 0x201bdf4     1  decomp      0x201c020
 0x201bfe4     2  decomp      0x2018a2c, 0x201e978
 0x201c1e8     5  decomp      0x201eb04, 0x201ebec, 0x201f364, 0x201f404, 0x201f42c
 0x201c1f8     3  decomp      0x201eb2c, 0x2036af8, 0x2036c18
 0x201c3e0     2  decomp      0x201c664, 0x201c7f4
 0x201c42c     2  decomp      0x201c564, 0x201c6ec
 0x201c85c     6  decomp      0x201e618, 0x201e6d0, 0x201e75c, 0x201ec04, 0x2036b04, 0x2036e34
 0x201c9a0     2  decomp      0x201cd40, 0x201cf64
 0x201cc20     1  decomp      0x201cd28
 0x201cd0c     1  decomp      0x201d0c0
 0x201ce44     1  decomp      0x201cf4c
 0x201cf30     1  decomp      0x201d0f4
 0x201d068     5  decomp      0x2018a0c, 0x2018a40, 0x2018b44, 0x2018b9c, 0x201a9b8
 0x201d114     2  decomp      0x201d64c, 0x201d694
 0x201d654     4  decomp      0x2018a1c, 0x2018a48, 0x2018b00, 0x20373a8
 0x201d6a0    13  decomp      0x2018b5c, 0x2019930, 0x201d630, 0x201d65c, 0x201dec0, 0x201e3ec
 0x201d6c0     2  decomp      0x201bb8c, 0x201d7ec
 0x201d778     2  decomp      0x2018908, 0x20189f8
 0x201d808     3  decomp      0x2018a24, 0x2018b08, 0x20373b0
 0x201d8b4     1  decomp      0x2018af0
