start	end	size	refs
0x02013F88	0x02023F78	65520	3
0x02013F98	0x02023F78	65504	1
0x02013FA8	0x02023F78	65488	1
0x02013FE4	0x02023FE4	65536	1
0x02013FF4	0x02023FF4	65536	6
0x02014004	0x02024004	65536	1
0x020140A8	0x020240A8	65536	3
0x020140D4	0x020240D4	65536	10
0x020140E4	0x020240E4	65536	5
0x02014108	0x02024108	65536	1
0x02014130	0x02024130	65536	1
0x02014140	0x02024140	65536	4
0x02014164	0x02024164	65536	3
0x02014180	0x02024180	65536	1
0x02014190	0x02024190	65536	1
0x02014214	0x02024214	65536	1
0x020143A0	0x020243A0	65536	1
0x02014664	0x02024664	65536	0
0x02014700	0x02024700	65536	1
0x020148B0	0x020248B0	65536	5
0x020148F4	0x020248F4	65536	1
0x020149AC	0x020249AC	65536	1
0x02014EBC	0x02024EBC	65536	0
0x02015384	0x020252E4	65376	2
0x020153C0	0x020253C0	65536	8
0x02015410	0x02025410	65536	1
0x0201550C	0x020254F8	65516	1
0x02015604	0x02025604	65536	2
0x020157F4	0x020257F4	65536	1
0x0201643C	0x0202643C	65536	2
0x02016484	0x02026454	65488	2
0x020164C0	0x020264C0	65536	1
0x02016540	0x02026540	65536	1
0x0201657C	0x0202657C	65536	1
0x02016820	0x02026820	65536	2
0x02016850	0x02026850	65536	1
0x020169C8	0x020269C8	65536	1
0x02016A14	0x02026A14	65536	1
0x02016AC0	0x02026AC0	65536	1
0x02016B68	0x02026B68	65536	0
0x02016B8C	0x02026B8C	65536	1
0x02016C2C	0x02026C2C	65536	1
0x02016E60	0x02026E60	65536	2
0x02016ED8	0x02026ED8	65536	1
0x02016F38	0x02026F38	65536	2
0x02016F4C	0x02026F4C	65536	2
0x02016F60	0x02026F5C	65532	1
0x020170B4	0x020270B0	65532	1
0x020170C4	0x020270C4	65536	2
0x02017270	0x02027270	65536	1
0x020172B0	0x020272B0	65536	1
0x02017338	0x02027338	65536	0
0x02017344	0x02027344	65536	1
0x02017380	0x02027380	65536	1
0x020173A4	0x020273A4	65536	0
0x020175B8	0x020275B8	65536	1
0x020176B8	0x020276B8	65536	1
0x020177CC	0x020277CC	65536	1
0x02017A04	0x02027A04	65536	1
0x02017A7C	0x02027A78	65532	0
0x02018318	0x02028318	65536	0
0x020183F0	0x020283F0	65536	0
0x02018CDC	0x02028CDC	65536	2
0x02018DC0	0x02028DB4	65524	1
0x02018EEC	0x02028EEC	65536	1
0x02018F40	0x02028F40	65536	2
0x02019004	0x02029004	65536	0
0x020190D0	0x020290D0	65536	1
0x020190FC	0x020290FC	65536	3
0x020191A0	0x020291A0	65536	0
0x020192B8	0x020292B8	65536	2
0x02019318	0x02029318	65536	1
0x020193C8	0x020293C8	65536	1
0x02019504	0x02029504	65536	3
0x0201958C	0x0202958C	65536	2
0x020195D8	0x020295D8	65536	1
0x020195F8	0x020295F8	65536	1
0x02019634	0x02029634	65536	1
0x02019688	0x02029688	65536	2
0x020196EC	0x020296EC	65536	2
0x02019714	0x02029714	65536	2
0x02019794	0x02029794	65536	2
0x020197C8	0x020297C8	65536	2
0x02019810	0x02029810	65536	3
0x0201992C	0x0202992C	65536	1
0x02019944	0x02029944	65536	1
0x02019980	0x02029980	65536	1
0x020199C0	0x020299C0	65536	0
0x020199D4	0x020299D4	65536	1
0x020199F4	0x020299F4	65536	0
0x02019A74	0x02029A74	65536	0
0x02019AB0	0x02029AB0	65536	1
0x02019CC8	0x02029CC8	65536	1
0x02019D98	0x02029D98	65536	0
0x02019E84	0x02029E84	65536	2
0x02019E98	0x02029E98	65536	1
0x02019F28	0x02029F28	65536	4
0x0201A018	0x0202A018	65536	1
0x0201A024	0x0202A024	65536	0
0x0201A05C	0x0202A05C	65536	0
0x0201A104	0x0202A104	65536	22
0x0201A124	0x0202A124	65536	69
0x0201A164	0x0202A164	65536	1
0x0201BA34	0x0202BA34	65536	1
0x0201C258	0x0202C258	65536	0
0x0201C29C	0x0202C29C	65536	1
0x0201C304	0x0202C304	65536	18
0x0201C330	0x0202C330	65536	10
0x0201C39C	0x0202C39C	65536	6
0x0201C3CC	0x0202C3CC	65536	1
0x0201C4E0	0x0202C4E0	65536	1
0x0201D630	0x0202D630	65536	11
0x0201DEF0	0x0202DEF0	65536	18
0x0201E114	0x0202E114	65536	5
0x0201E23C	0x0202E23C	65536	5
0x0201E298	0x0202E298	65536	2
0x0201E368	0x0202E368	65536	4
0x0201E720	0x0202E720	65536	16
0x0201E7A4	0x0202E7A4	65536	27
0x0201E7D8	0x0202E7D8	65536	33
0x0201E820	0x0202E820	65536	2
0x0201EA0C	0x0202EA0C	65536	6
0x0201EE8C	0x0202EE8C	65536	40
0x0201F098	0x0202F098	65536	1
0x0201F294	0x0202F294	65536	11
0x0201F7D8	0x0202F7D8	65536	1
0x0201F7DC	0x0202F7DC	65536	1
0x0201F808	0x0202F808	65536	33
0x0201F898	0x0202F898	65536	1
0x0201F9D8	0x0202F9D8	65536	1
0x0201FA2C	0x0202FA2C	65536	1
0x0201FAFC	0x0202FAFC	65536	1
0x0201FB6C	0x0202FB6C	65536	2
0x0201FBD4	0x0202FBD4	65536	2
0x0201FC7C	0x0202FC7C	65536	5
0x0201FCDC	0x0202FCDC	65536	1
0x0201FD34	0x0202FD34	65536	4
0x0201FD4C	0x0202FD4C	65536	3
0x0201FD64	0x0202FD64	65536	4
0x0201FD7C	0x0202FD7C	65536	4
0x0201FD94	0x0202FD94	65536	1
0x0201FDF0	0x0202FDF0	65536	2
0x0201FE64	0x0202FE64	65536	1359
0x0201FEFC	0x0202FEFC	65536	177
0x0201FF58	0x0202FF58	65536	2
0x0201FF9C	0x0202FF9C	65536	36
0x0201FFFC	0x0202FFFC	65536	0
0x02020030	0x02030030	65536	136
